DepMap_ID,pubchem,Z_SCORE,ActArea
ACH-000359,10461815,-0.936575004,0.02981
ACH-000650,10461815,-0.936445493,0.03001
ACH-000040,5479543,-0.936205899,0.03038
ACH-000654,216239,-0.936005157,0.03069
ACH-000930,11626560,-0.935901548,0.03085
ACH-000978,5330286,-0.935571296,0.03136
ACH-000062,208908,-0.935273421,0.03182
ACH-000638,5479543,-0.935228093,0.03189
ACH-000144,5479543,-0.934807183,0.03254
ACH-000260,176870,-0.934729476,0.03266
ACH-000035,10461815,-0.934405699,0.03316
ACH-000558,5479543,-0.934308566,0.03331
ACH-000437,10461815,-0.934282664,0.03335
ACH-000484,10127622,-0.934088398,0.03365
ACH-000669,5479543,-0.933628635,0.03436
ACH-000893,24180719,-0.933589782,0.03442
ACH-000019,10302451,-0.933499124,0.03456
ACH-000730,208908,-0.93344732,0.03464
ACH-000876,176870,-0.933363138,0.03477
ACH-000075,10302451,-0.933298383,0.03487
ACH-000024,208908,-0.933291907,0.03488
ACH-000657,10461815,-0.933162396,0.03508
ACH-000472,11626560,-0.933006984,0.03532
ACH-000434,216239,-0.932754438,0.03571
ACH-000945,24180719,-0.932670256,0.03584
ACH-000054,5330286,-0.932599025,0.03595
ACH-000662,176870,-0.932540745,0.03604
ACH-000315,3081361,-0.932288199,0.03643
ACH-000930,11503417,-0.931919093,0.037
ACH-000781,5479543,-0.931770156,0.03723
ACH-000437,10117717,-0.931731303,0.03729
ACH-000924,208908,-0.931498184,0.03765
ACH-000414,24180719,-0.931245638,0.03804
ACH-000129,24180719,-0.930980141,0.03845
ACH-000067,208908,-0.930747021,0.03881
ACH-000132,5330286,-0.93067579,0.03892
ACH-000750,208908,-0.930559231,0.0391
ACH-000858,216345,-0.930345538,0.03943
ACH-000139,5330286,-0.930015286,0.03994
ACH-000828,176870,-0.929989384,0.03998
ACH-000858,216239,-0.929911677,0.0401
ACH-000580,5479543,-0.929730362,0.04038
ACH-000320,11626560,-0.929672082,0.04047
ACH-001190,3081361,-0.929561998,0.04064
ACH-000047,10461815,-0.929238221,0.04114
ACH-000792,176870,-0.928843214,0.04175
ACH-000153,5479543,-0.928726654,0.04193
ACH-000945,176870,-0.928635996,0.04207
ACH-000828,11626560,-0.928623045,0.04209
ACH-000670,10302451,-0.928396402,0.04244
ACH-000151,10461815,-0.928364024,0.04249
ACH-000649,216345,-0.928364024,0.04249
ACH-000547,5479543,-0.92825394,0.04266
ACH-000828,10127622,-0.928027296,0.04301
ACH-000985,208908,-0.927852457,0.04328
ACH-000244,216239,-0.927781226,0.04339
ACH-000824,10117717,-0.927671142,0.04356
ACH-000876,5479543,-0.927522204,0.04379
ACH-000414,216239,-0.927308511,0.04412
ACH-000654,11503417,-0.927191952,0.0443
ACH-000475,11503417,-0.926712762,0.04504
ACH-000493,10302451,-0.926602678,0.04521
ACH-000040,644241,-0.92644079,0.04546
ACH-000248,10117717,-0.926408412,0.04551
ACH-000040,208908,-0.926311279,0.04566
ACH-000888,11626560,-0.925877418,0.04633
ACH-000960,10127622,-0.925806187,0.04644
ACH-000810,24180719,-0.925767334,0.0465
ACH-000910,10461815,-0.925754383,0.04652
ACH-000226,216239,-0.925553641,0.04683
ACH-000810,216345,-0.92548241,0.04694
ACH-000924,5330286,-0.925275193,0.04726
ACH-000067,5479543,-0.925048549,0.04761
ACH-000790,216239,-0.924776577,0.04803
ACH-000888,216239,-0.924647066,0.04823
ACH-000176,10461815,-0.92451108,0.04844
ACH-000857,216239,-0.924413947,0.04859
ACH-000621,24180719,-0.924407471,0.0486
ACH-000147,24180719,-0.923895904,0.04939
ACH-000906,5479543,-0.923870002,0.04943
ACH-000366,176870,-0.923870002,0.04943
ACH-000304,10302451,-0.923863526,0.04944
ACH-000915,10302451,-0.923850575,0.04946
ACH-000574,5330286,-0.923565651,0.0499
ACH-000483,216239,-0.923533274,0.04995
ACH-000857,10461815,-0.923520323,0.04997
ACH-000211,208908,-0.923500896,0.05
ACH-000846,216239,-0.923377861,0.05019
ACH-000906,208908,-0.922717356,0.05121
ACH-000788,216239,-0.922678503,0.05127
ACH-000389,208908,-0.922283495,0.05188
ACH-001307,10302451,-0.922153984,0.05208
ACH-000201,24180719,-0.92210218,0.05216
ACH-000652,644241,-0.922089229,0.05218
ACH-000914,644241,-0.921830208,0.05258
ACH-000847,10461815,-0.921208556,0.05354
ACH-000750,5479543,-0.920904206,0.05401
